latitud,operativa,localizacion,estacion,provincia,longitud,altitud
41º38’44’’ N,Si,Arco Ladrillo,Arco de ladrillo II,VALLADOLID,04º43’49’’ W,700 m
41º39’59’’ N,Si,Paseo del Cauce,Michelin1,VALLADOLID,04º42’54’’ W,694 m
41º37’14’’ N,Si,Vega Sicilia,Vega Sicilia,VALLADOLID,04º44’48’’ W,690 m
"41º30'32"" N",Si,Ctra Villalpando,Zamora 2,ZAMORA,"05º44'53"" W",637 m
41º16’52” N,Si,Cerro de la Fuente,CAMPISÁBALOS,GUADALAJARA,03º08’34” W,1360 m
42º04’47’’ N,Si,Calle de la Alta Fría,Valderas,LEÓN,05º26’56’’ W,765 m
41º39’56’’ N,Si,C/ Sulidiza,Aranda de Duero 2,BURGOS,03º41’20’’ W,803 m
"43º36'12"" N",Si,Barrio Pinilla,Leon1,LEÓN,"05º35'21"" W",838 m
42º42’13’’ N,Si,Villalba,C.T.G. - Villalba,PALENCIA,04º49’38’’ W,1050 m
"42º01’04"" N",Si,C/ Miravalles,Palencia 3,PALENCIA,04º32’26’’ W,740 m
"40º58'44"" N",Si,C/ La Bañeza,Salamanca5,SALAMANCA,"05º39'59"" W",830 m
"40º56'59"" N",No,Acueducto,Segovia,SEGOVIA,"04º06'57"" W",1002 m
41º38’49’’ N,NO,Labradores II,Labradores II,VALLADOLID,04º43’10’’ W,693 m
