time,temperature_2m,precipitation,latitude,longitude
2026-05-01T00:00,12.4,0.0,42.6853,-2.9403
2026-05-01T01:00,11.6,0.0,42.6853,-2.9403
2026-05-01T02:00,10.9,0.0,42.6853,-2.9403
2026-05-01T03:00,10.3,0.0,42.6853,-2.9403
2026-05-01T04:00,9.7,0.0,42.6853,-2.9403
2026-05-01T05:00,9.4,0.0,42.6853,-2.9403
2026-05-01T06:00,8.9,0.0,42.6853,-2.9403
2026-05-01T07:00,9.0,0.0,42.6853,-2.9403
2026-05-01T08:00,9.3,0.0,42.6853,-2.9403
2026-05-01T09:00,11.5,0.0,42.6853,-2.9403
2026-05-01T10:00,14.0,0.0,42.6853,-2.9403
2026-05-01T11:00,16.1,0.0,42.6853,-2.9403
2026-05-01T12:00,18.0,0.0,42.6853,-2.9403
2026-05-01T13:00,19.7,0.0,42.6853,-2.9403
2026-05-01T14:00,20.7,0.0,42.6853,-2.9403
2026-05-01T15:00,21.8,0.0,42.6853,-2.9403
2026-05-01T16:00,21.7,0.0,42.6853,-2.9403
2026-05-01T17:00,19.9,0.2,42.6853,-2.9403
2026-05-01T18:00,21.5,0.0,42.6853,-2.9403
2026-05-01T19:00,21.8,0.0,42.6853,-2.9403
2026-05-01T20:00,20.2,0.0,42.6853,-2.9403
2026-05-01T21:00,17.5,0.3,42.6853,-2.9403
2026-05-01T22:00,15.3,0.15,42.6853,-2.9403
2026-05-01T23:00,15.1,0.0,42.6853,-2.9403
2026-05-02T00:00,15.1,0.0,42.6853,-2.9403
2026-05-02T01:00,14.5,0.0,42.6853,-2.9403
2026-05-02T02:00,14.0,0.0,42.6853,-2.9403
2026-05-02T03:00,14.3,0.0,42.6853,-2.9403
2026-05-02T04:00,14.0,0.0,42.6853,-2.9403
2026-05-02T05:00,13.5,0.0,42.6853,-2.9403
2026-05-02T06:00,12.6,0.0,42.6853,-2.9403
2026-05-02T07:00,12.7,0.0,42.6853,-2.9403
2026-05-02T08:00,13.0,0.0,42.6853,-2.9403
2026-05-02T09:00,14.1,0.0,42.6853,-2.9403
2026-05-02T10:00,15.8,0.0,42.6853,-2.9403
2026-05-02T11:00,17.3,0.0,42.6853,-2.9403
2026-05-02T12:00,18.2,0.0,42.6853,-2.9403
2026-05-02T13:00,19.0,0.0,42.6853,-2.9403
2026-05-02T14:00,19.3,0.1,42.6853,-2.9403
2026-05-02T15:00,16.9,0.8,42.6853,-2.9403
2026-05-02T16:00,19.0,0.0,42.6853,-2.9403
2026-05-02T17:00,16.0,7.5,42.6853,-2.9403
2026-05-02T18:00,15.7,0.3,42.6853,-2.9403
2026-05-02T19:00,17.2,0.0,42.6853,-2.9403
2026-05-02T20:00,14.9,4.1,42.6853,-2.9403
2026-05-02T21:00,14.7,0.4,42.6853,-2.9403
2026-05-02T22:00,13.6,2.9,42.6853,-2.9403
2026-05-02T23:00,13.1,0.3,42.6853,-2.9403
2026-05-03T00:00,12.6,3.7,42.6853,-2.9403
2026-05-03T01:00,12.3,0.0,42.6853,-2.9403
2026-05-03T02:00,12.4,0.0,42.6853,-2.9403
2026-05-03T03:00,12.4,0.0,42.6853,-2.9403
2026-05-03T04:00,12.4,0.0,42.6853,-2.9403
2026-05-03T05:00,12.4,0.0,42.6853,-2.9403
2026-05-03T06:00,12.0,0.0,42.6853,-2.9403
2026-05-03T07:00,12.3,0.0,42.6853,-2.9403
2026-05-03T08:00,12.7,0.0,42.6853,-2.9403
2026-05-03T09:00,13.5,0.1,42.6853,-2.9403
2026-05-03T10:00,14.7,0.0,42.6853,-2.9403
2026-05-03T11:00,15.5,0.0,42.6853,-2.9403
2026-05-03T12:00,16.8,0.03,42.6853,-2.9403
2026-05-03T13:00,18.0,0.15,42.6853,-2.9403
2026-05-03T14:00,17.7,0.38,42.6853,-2.9403
2026-05-03T15:00,16.7,0.6,42.6853,-2.9403
2026-05-03T16:00,17.1,0.2,42.6853,-2.9403
2026-05-03T17:00,16.4,0.3,42.6853,-2.9403
2026-05-03T18:00,17.2,0.0,42.6853,-2.9403
2026-05-03T19:00,18.0,0.0,42.6853,-2.9403
2026-05-03T20:00,17.8,0.1,42.6853,-2.9403
2026-05-03T21:00,16.6,0.3,42.6853,-2.9403
2026-05-03T22:00,15.5,0.4,42.6853,-2.9403
2026-05-03T23:00,14.9,0.8,42.6853,-2.9403
