station_id,station_name,datetime,temperature,humidity,pressure,wind_speed,wind_direction,latitude,longitude,altitude
3195,MADRID RETIRO,2026-04-20 08:00:00+00:00,16.5,60.0,937.3,1.0,83.0,40.411806,-3.678095,667.0
9501X,VALMADRID,2026-04-20 09:00:00+00:00,23.6,41.0,,1.9,228.0,41.443134,-0.885947,535.0
4067,MADRIDEJOS,2026-04-20 09:00:00+00:00,20.5,41.0,934.9,2.8,123.0,39.492064,-3.528358,690.0
3129A,MADRID BARAJAS RS.,2026-04-20 09:00:00+00:00,19.5,47.0,942.3,1.3,40.0,40.465278,-3.579722,631.0
3194U,MADRID  C. UNIVERSITARIA,2026-04-20 09:00:00+00:00,21.8,40.0,,1.2,83.0,40.451671,-3.724167,664.0
3195,MADRID RETIRO,2026-04-20 09:00:00+00:00,18.8,49.0,937.3,1.7,83.0,40.411806,-3.678095,667.0
3129,MADRID/BARAJAS,2026-04-20 09:00:00+00:00,19.5,50.0,947.7,1.3,40.0,40.466559,-3.555593,609.0
9501X,VALMADRID,2026-04-20 10:00:00+00:00,24.6,39.0,,1.8,127.0,41.443134,-0.885947,535.0
4067,MADRIDEJOS,2026-04-20 10:00:00+00:00,23.1,33.0,934.8,2.2,123.0,39.492064,-3.528358,690.0
3129,MADRID/BARAJAS,2026-04-20 10:00:00+00:00,21.6,44.0,947.3,1.5,10.0,40.466559,-3.555593,609.0
3194U,MADRID  C. UNIVERSITARIA,2026-04-20 10:00:00+00:00,23.9,40.0,,0.5,82.0,40.451671,-3.724167,664.0
3195,MADRID RETIRO,2026-04-20 10:00:00+00:00,21.7,44.0,937.0,1.5,137.0,40.411806,-3.678095,667.0
3129A,MADRID BARAJAS RS.,2026-04-20 10:00:00+00:00,21.2,41.0,941.9,1.2,54.0,40.465278,-3.579722,631.0
9501X,VALMADRID,2026-04-20 11:00:00+00:00,26.4,34.0,,1.4,188.0,41.443134,-0.885947,535.0
3129,MADRID/BARAJAS,2026-04-20 11:00:00+00:00,24.2,36.0,946.5,2.2,170.0,40.466559,-3.555593,609.0
3129A,MADRID BARAJAS RS.,2026-04-20 11:00:00+00:00,24.0,36.0,941.2,1.5,124.0,40.465278,-3.579722,631.0
4067,MADRIDEJOS,2026-04-20 11:00:00+00:00,25.3,26.0,934.2,1.4,144.0,39.492064,-3.528358,690.0
3194U,MADRID  C. UNIVERSITARIA,2026-04-20 11:00:00+00:00,25.1,33.0,,1.0,74.0,40.451671,-3.724167,664.0
3195,MADRID RETIRO,2026-04-20 11:00:00+00:00,24.2,35.0,936.3,1.7,116.0,40.411806,-3.678095,667.0
9501X,VALMADRID,2026-04-20 12:00:00+00:00,27.5,35.0,,2.0,73.0,41.443134,-0.885947,535.0
3129,MADRID/BARAJAS,2026-04-20 12:00:00+00:00,25.6,30.0,945.8,1.8,190.0,40.466559,-3.555593,609.0
